,project,run_name,metrics/mmlu/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu/5-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/5-shot/InContextLearningMultipleChoiceAccuracy,math/MATH,math/MATH_ru,math/gsm8k,math/gsm8k_ru,code/humaneval/base_pass@1,code/humaneval/plus_pass@1,code/mbpp/base_pass@1,code/mbpp/plus_pass@1,code/lcb/pass@1,code/lcb/pass@10
38,embeddings_annealing_7B_5_3_1,emdedding_curr_request_top_by_group_pro_annealing_3T_40B,,,,,,,,,,,,,,
39,embeddings_annealing_7B_5_3_1,emdedding_curr_request_unanswered_top_by_group_pro_annealing_3T_40B,,,,,,,,,,,,,,
40,embeddings_annealing_7B_5_3_1,merge_all_top50kk_annealing_3T_40B,0.6558182835578918,0.6660019755363464,0.32679522037506104,0.35962432622909546,,,,,,,,,,
41,embeddings_annealing_7B_5_3_1,merge_all_top_by_group_annealing_3T_40B,0.6538242697715759,0.6687793731689453,0.3431682288646698,0.3531416356563568,,,,,,,,,,
42,embeddings_annealing_7B_5_3_1,merge_all_top_by_group_pro_annealing_3T_40B,,,,,,,,,,,,,,
43,embeddings_annealing_7B_5_3_1,mmlu_output_embedding_instr_dqa_4k_mds_annealing_3T_40B,0.6503347158432007,0.6684232950210571,0.33452460169792175,0.3525598347187042,,,,,,,,,,
44,code_annealing_7B_5_3_1,5.3.1_base_annealing_3T_40B,0.6273322701454163,0.6484119296073914,0.31233376264572144,0.3346908390522003,,,,,,,,,,
45,code_annealing_7B_5_3_1,dqa_v1234_mds_4k_annealing_3T_40B,0.6184304356575012,0.6345250010490417,0.30393949151039124,,0.2524,0.2032,0.6148597422289613,0.5435936315390447,0.3902439024390244,0.3475609756097561,0.6164021164021164,0.5026455026455027,0.1157345971563981,0.1933649289099526
46,code_annealing_7B_5_3_1,no_filter_setapp12_mds_4k_annealing_3T_40B,0.6150121092796326,0.6358780860900879,0.29820477962493896,0.3174035847187042,0.2542,0.2178,0.621683093252464,0.5663381349507203,0.38414634146341464,0.3475609756097561,0.6137566137566137,0.5317460317460317,0.12587677725118485,0.209478672985782
47,code_annealing_7B_5_3_1,synthetic_ifd_filtered_v1234_Setapp1_mds_4k_annealing_3T_40B,0.6105255484580994,0.6395100355148315,0.291223406791687,0.30601727962493896,0.237,0.1972,0.5966641394996209,0.513267626990144,0.3475609756097561,0.31097560975609756,0.6243386243386243,0.5211640211640212,0.1061611374407583,0.18388625592417063
48,code_annealing_7B_5_3_1,synthetic_ifd_filtered_v1234_Setapp2_mds_4k_annealing_3T_40B,0.6123771667480469,0.637444794178009,0.29820477962493896,0.32629653811454773,,,,,,,,,,
49,code_annealing_7B_5_3_1,synthetic_textbook_v1234_mds_4k_annealing_3T_40B,0.620068371295929,0.6385842561721802,0.30277591943740845,0.32671210169792175,,,,,,,,,,
50,code_annealing_7B_5_3_1,EssentialAI_Taxonomy_Code_DCLM_tokenized_mds_annealing_3T_40B,0.6105255484580994,0.6383705735206604,0.2995345890522003,0.32338762283325195,0.2398,0.1904,0.5913570887035633,0.5178165276724791,0.3597560975609756,0.3048780487804878,0.6137566137566137,0.5238095238095238,0.08720379146919431,0.13270142180094788
51,code_annealing_7B_5_3_1,EssentialAI_Taxonomy_Code_tokenized_mds_annealing_3T_40B,0.6194986701011658,0.6352371573448181,0.3012799322605133,0.332446813583374,0.2456,0.2052,0.620166793025019,0.5360121304018196,0.38414634146341464,0.3353658536585366,0.6005291005291006,0.5052910052910053,,
52,code_annealing_7B_5_3_1,nemotron_sft_code-sft_DeepSeek-R1-0528_tokenized_4096_mds_annealing_3T_40B,0.6199259161949158,0.6414328217506409,0.31158578395843506,0.3342752754688263,,,,,,,,,,
53,code_annealing_7B_5_3_1,nemotron_sft_code-sft_DeepSeek-R1_tokenized_4096_mds_annealing_3T_40B,0.6206380724906921,0.6431419849395752,0.3203125,0.32995346188545227,,,,,,,,,,
54,code_annealing_7B_5_3_1,nemotron_sft_code-sft_Mixtral-8x22B-v0.1_tokenized_4096_mds_annealing_3T_40B,0.6283292770385742,0.6442102193832397,0.31848403811454773,0.3218916356563568,,,,,,,,,,
